"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"178","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2717,135,0,1.943946
"179","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",1196,272223,1,17170.9557264
"180","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",1026,249,0,15.7061232
"181","All Transitions","10810_15_16_23_24_28",0.0630768,"Inter-Mountain Basins Mixed Salt Desert Scrub",1128,395,0,24.915336
"182","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",1197,746149,2.8,927.9108964
"183","All Transitions","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",395,142,0,0.1765912
"184","All Transitions","10820_14",0.0024776,"Mojave Mid-Elevation Mixed Desert Scrub",533,441,0,1.0926216
"185","All Transitions","10820_4_13",0.0024768,"Mojave Mid-Elevation Mixed Desert Scrub",501,671,0,1.6619328
"186","All Transitions","10860_25",0.031796,"Rocky Mountain Lower Montane-Foothill Shrubland",391,4,0,0.127184
"187","All Transitions","10870_4_6_12_13_14_15_17_24_25",0.0141404,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",1198,148994,0.6,2106.8347576
"188","All Transitions","10870_4_6_12_13_14_15_17_24_25",0.0141404,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",503,373,0,5.2743692
"189","All Transitions","10870_4_6_12_13_14_15_17_24_25",0.0141404,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",534,499,0,7.0560596
"190","All Transitions","10870_4_6_12_13_14_15_17_24_25",0.0141404,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",1352,72,0,1.0181088
"191","All Transitions","10900_14",0.0086248,"Sonoran Granite Outcrop Desert Scrub",536,1289,0,11.1173672
"192","All Transitions","10910_13_14",0.0095236,"Sonoran Mid-Elevation Desert Scrub",537,24,0,0.2285664
"193","All Transitions","10910_15",0.0116798,"Sonoran Mid-Elevation Desert Scrub",1199,2013930,7.5,23522.299614
"194","All Transitions","10910_25",0.0700258,"Sonoran Mid-Elevation Desert Scrub",1354,450,0,31.51161
"195","All Transitions","10930_13_15_16_23_24_28",0.012289,"Southern Colorado Plateau Sand Shrubland",406,83484,0.3,1025.934876
"196","All Transitions","10930_13_15_16_23_24_28",0.012289,"Southern Colorado Plateau Sand Shrubland",506,3,0,0.036867
"197","All Transitions","10930_13_15_16_23_24_28",0.012289,"Southern Colorado Plateau Sand Shrubland",1129,6,0,0.073734
"198","All Transitions","10950_14",0.1272314,"Apacherian-Chihuahuan Mesquite Upland Scrub",407,27,0,3.4352478
"199","All Transitions","10950_15",0.1061212,"Apacherian-Chihuahuan Mesquite Upland Scrub",402,77810,0.3,8257.290572
"200","All Transitions","10950_25",0.1220314,"Apacherian-Chihuahuan Mesquite Upland Scrub",392,49,0,5.9795386
"201","All Transitions","11000_15",0.0143264,"Chihuahuan Mixed Desert and Thorn Scrub",1200,57956,0.2,830.3008384
"202","All Transitions","11002_25",0.0172134,"Chihuahuan Mixed Desert and Thorn Scrub - Shrubland",1356,127,0,2.1861018
"203","All Transitions","11003_25",0.0152404,"Chihuahuan Mixed Desert and Thorn Scrub - Steppe",1357,339,0,5.1664956
"204","All Transitions","11010_25",0.0600128,"Madrean Oriental Chaparral",1358,0,0,0
"205","All Transitions","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1130,6,0,0.0928848
