"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"39",1200,260599,11000,15,"11000_15","Chihuahuan Mixed Desert and Thorn Scrub","Shrubland",567,802,NA,332,59,41,NA,"V-A",245,162,122,0.960784314,0.635294118,0.478431373,57956,0.2
"40",1215,182713,11600,15,"11600_15_28","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,NA,80,62,23,NA,77,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,40634,0.2
"41",1187,89057,10260,15,"10260_15","Madrean Upper Montane Conifer-Oak Forest and Woodland","Conifer",305,62,13,10,4,16,80,"I-B",73,128,57,0.28627451,0.501960784,0.223529412,19806,0.1
"42",2704,90144,10803,15,"10803_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Semi-Desert","Shrubland",151,NA,NA,151,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,20048,0.1
"43",384,15784,10060,15,"10060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,3510,0
"44",385,262,10040,13,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,58,0
"45",391,17,10860,25,"10860_25","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",72,203,NA,53,74,26,NA,"III-A",137,68,101,0.537254902,0.266666667,0.396078431,4,0
"46",392,219,10950,25,"10950_25","Apacherian-Chihuahuan Mesquite Upland Scrub","Shrubland",10,NA,49,8,83,NA,17,"II-B",255,56,132,1,0.219607843,0.517647059,49,0
"47",393,15,10760,25,"10760_25","Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub","Shrubland",22,NA,NA,22,100,NA,NA,"II-C",229,69,99,0.898039216,0.270588235,0.388235294,3,0
"48",395,640,10820,24,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,NA,NA,815,100,NA,NA,"V-B",216,6,73,0.847058824,0.023529412,0.28627451,142,0
"49",399,314,11261,24,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,70,0
"50",407,121,10950,14,"10950_14","Apacherian-Chihuahuan Mesquite Upland Scrub","Shrubland",10,NA,40,8,80,NA,20,"II-B",255,56,132,1,0.219607843,0.517647059,27,0
"51",488,18,10010,13,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,4,0
"52",491,68,10160,13,"10160_13_14","Colorado Plateau Pinyon-Juniper Woodland","Conifer",483,340,768,158,33,46,21,"III-B",205,170,102,0.803921569,0.666666667,0.4,15,0
"53",492,357,10190,13,"10190_13_14","Great Basin Pinyon-Juniper Woodland","Conifer",474,337,780,157,33,47,20,"III-B",115,76,0,0.450980392,0.298039216,0,79,0
"54",495,1,10540,13,"10540_13_14","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",254,39,28,15,6,39,55,"I-B",168,56,0,0.658823529,0.219607843,0,0,0
"55",501,3019,10820,13,"10820_4_13","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",399,NA,NA,399,100,NA,NA,"V-A",216,6,73,0.847058824,0.023529412,0.28627451,671,0
"56",503,1675,10870,13,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,373,0
"57",506,15,10930,13,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,3,0
"58",508,55,11030,13,"11030_6_7_12_13_16_17_23","Great Basin Semi-Desert Chaparral","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",174,250,255,0.682352941,0.980392157,1,12,0
"59",513,2,11150,13,"11150_13","Inter-Mountain Basins Juniper Savanna","Conifer",807,427,567,187,23,44,33,"III-B",137,112,68,0.537254902,0.439215686,0.266666667,0,0
"60",521,26,11540,13,"11540_13","Inter-Mountain Basins Montane Riparian Systems","Riparian",68,NA,NA,68,100,NA,NA,"IV-A",154,156,117,0.603921569,0.611764706,0.458823529,6,0
"61",523,204,11552,13,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,NA,NA,735,100,NA,NA,"V-B",84,160,117,0.329411765,0.62745098,0.458823529,45,0
"62",525,14,10040,14,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471,3,0
"63",528,23,10230,14,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654901961,0.517647059,5,0
"64",530,3,10250,14,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.62745098,0.415686275,0.121568627,1,0
"65",533,1985,10820,14,"10820_14","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",406,NA,NA,406,100,NA,NA,"V-A",216,6,73,0.847058824,0.023529412,0.28627451,441,0
"66",534,2244,10870,14,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,499,0
"67",536,5797,10900,14,"10900_14","Sonoran Granite Outcrop Desert Scrub","Shrubland",513,NA,NA,513,100,NA,NA,"V-B",255,160,0,1,0.62745098,0,1289,0
"68",537,106,10910,14,"10910_13_14","Sonoran Mid-Elevation Desert Scrub","Shrubland",104,NA,NA,104,100,NA,NA,"IV-B",176,6,99,0.690196078,0.023529412,0.388235294,24,0
"69",538,1611,11040,14,"11040_13_14_25","Mogollon Chaparral","Shrubland",77,NA,NA,77,100,NA,NA,"IV-A",173,250,211,0.678431373,0.980392157,0.82745098,358,0
"70",539,139,11080,14,"11080_4_5_13_14_15_24_25","Sonora-Mojave Semi-Desert Chaparral","Shrubland",81,NA,NA,81,100,NA,NA,"IV-A",255,197,173,1,0.77254902,0.678431373,31,0
"71",540,746,11090,14,"11090_14","Sonoran Paloverde-Mixed Cacti Desert Scrub","Shrubland",1056,NA,NA,1056,100,NA,NA,"V-B",233,214,245,0.91372549,0.839215686,0.960784314,166,0
"72",542,139,11210,14,"11210_14","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",10,NA,40,8,80,NA,20,"II-B",255,221,216,1,0.866666667,0.847058824,31,0
"73",545,49,11550,14,"11550_13_14","North American Warm Desert Riparian Systems","Riparian",785,23,NA,23,3,97,NA,"I-C",123,160,117,0.482352941,0.62745098,0.458823529,11,0
"74",546,577,11552,14,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,NA,NA,735,100,NA,NA,"V-B",84,160,117,0.329411765,0.62745098,0.458823529,128,0
"75",1006,287,10010,23,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,64,0
"76",1007,32,10040,23,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471,7,0
